filename,plate,well,site,channel,timepoint,compound,dose,control,subdir_folder,zslice
D-10_F0002_T0012_Z0001_C02,1,D-10,2,CL488,T0012,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-10_F0002_T0004_Z0001_C02,1,C-10,2,CL488,T0004,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0003_T0001_Z0001_C02,1,D-02,3,CL488,T0001,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-03_F0001_T0002_Z0001_C02,1,D-03,1,CL488,T0002,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-06_F0001_T0010_Z0001_C01,1,C-06,1,Hoechst,T0010,Staurosporine,4.88,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0002_T0001_Z0001_C03,1,D-02,2,CL488-2,T0001,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-10_F0001_T0004_Z0001_C03,1,C-10,1,CL488-2,T0004,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-03_F0002_T0010_Z0001_C01,1,E-03,2,Hoechst,T0010,Staurosporine,0.61,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-11_F0001_T0013_Z0001_C01,1,D-11,1,Hoechst,T0013,Staurosporine,156.25,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
E-09_F0004_T0007_Z0001_C03,1,E-09,4,CL488-2,T0007,Staurosporine,39.06,positive,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0003_T0012_Z0001_C01,1,D-10,3,Hoechst,T0012,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-10_F0001_T0012_Z0001_C03,1,D-10,1,CL488-2,T0012,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
C-10_F0003_T0004_Z0001_C01,1,C-10,3,Hoechst,T0004,Staurosporine,78.13,,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
D-02_F0004_T0001_Z0001_C01,1,D-02,4,Hoechst,T0001,Staurosporine,0.0,negative,20231017ChromaLive_6hr_4ch_MaxIP/,Z0001
